"",BBDE1.M.DE.Y.JAA9.P2XF50000.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50000.C.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50100.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50100.C.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50500.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.C.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50500.CN.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.CN.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50500.CB.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.CB.V.ABA.A_FLAGS
1999-06,8.00,,5.08,,2.92,,2.24,,0.68,
1999-07,7.66,,5.18,,2.48,,1.89,,0.59,
1999-08,7.96,,4.99,,2.97,,2.26,,0.71,
1999-09,7.99,,4.94,,3.05,,2.36,,0.69,
1999-10,7.61,,5.07,,2.54,,2.04,,0.50,
1999-11,7.59,,4.74,,2.85,,2.16,,0.69,
1999-12,6.76,,4.38,,2.38,,1.75,,0.63,
2000-01,7.91,,5.13,,2.78,,2.07,,0.71,
2000-02,6.99,,4.51,,2.48,,1.86,,0.62,
2000-03,7.45,,4.53,,2.92,,2.27,,0.65,
2000-04,6.91,,4.15,,2.76,,1.88,,0.88,
2000-05,6.77,,4.11,,2.66,,2.10,,0.56,
2000-06,6.84,,3.95,,2.89,,2.19,,0.70,
2000-07,6.69,,4.03,,2.66,,2.10,,0.56,
2000-08,6.55,,3.96,,2.59,,2.03,,0.56,
2000-09,6.94,,3.84,,3.10,,2.29,,0.81,
2000-10,6.08,,3.63,,2.45,,1.93,,0.52,
2000-11,6.33,,3.59,,2.74,,2.18,,0.56,
2000-12,5.91,,3.35,,2.56,,2.00,,0.56,
2001-01,6.04,,3.36,,2.68,,2.08,,0.60,
2001-02,6.58,,3.72,,2.86,,2.25,,0.61,
2001-03,6.63,,3.59,,3.04,,2.25,,0.79,
2001-04,6.62,,3.65,,2.97,,2.31,,0.66,
2001-05,6.62,,3.79,,2.83,,2.03,,0.80,
2001-06,6.18,,3.67,,2.51,,1.88,,0.63,
2001-07,6.52,,3.75,,2.77,,2.22,,0.55,
2001-08,5.98,,3.46,,2.52,,2.11,,0.41,
2001-09,5.82,,3.38,,2.44,,1.83,,0.61,
2001-10,6.32,,3.46,,2.86,,2.23,,0.63,
2001-11,6.08,,3.15,,2.93,,2.27,,0.66,
2001-12,5.37,,2.90,,2.47,,1.96,,0.51,
2002-01,6.28,,3.57,,2.71,,2.04,,0.67,
2002-02,6.43,,3.57,,2.86,,2.16,,0.70,
2002-03,5.66,,3.31,,2.35,,1.73,,0.62,
2002-04,6.22,,3.51,,2.71,,2.04,,0.67,
2002-05,5.80,,3.38,,2.42,,1.78,,0.64,
2002-06,5.67,,3.40,,2.27,,1.65,,0.62,
2002-07,5.81,,3.35,,2.46,,1.82,,0.64,
2002-08,5.26,,3.13,,2.13,,1.55,,0.58,
2002-09,5.42,,3.15,,2.27,,1.76,,0.51,
2002-10,5.50,,2.99,,2.51,,1.99,,0.52,
2002-11,5.54,,3.18,,2.36,,1.75,,0.61,
2002-12,6.77,,4.49,,2.28,,1.68,,0.60,
2003-01,7.75,,5.41,,2.34,,1.75,,0.59,
2003-02,6.41,,4.24,,2.17,,1.63,,0.54,
2003-03,6.19,,4.00,,2.19,,1.62,,0.57,
2003-04,5.70,,3.68,,2.02,,1.51,,0.51,
2003-05,6.19,,3.49,,2.70,,2.19,,0.51,
2003-06,6.00,,3.46,,2.54,,1.94,,0.60,
2003-07,5.24,,3.25,,1.99,,1.57,,0.42,
2003-08,5.26,,3.22,,2.04,,1.49,,0.55,
2003-09,5.19,,3.16,,2.03,,1.50,,0.53,
2003-10,5.25,,3.31,,1.94,,1.34,,0.60,
2003-11,5.45,,3.40,,2.05,,1.45,,0.60,
2003-12,6.30,,4.19,,2.11,,1.49,,0.62,
2004-01,6.98,,5.05,,1.93,,1.47,,0.46,
2004-02,6.49,,4.43,,2.06,,1.45,,0.61,
2004-03,6.04,,4.07,,1.97,,1.42,,0.55,
2004-04,5.31,,3.41,,1.90,,1.35,,0.55,
2004-05,4.98,,3.09,,1.89,,1.42,,0.47,
2004-06,5.06,,2.95,,2.11,,1.58,,0.53,
2004-07,4.58,,2.69,,1.89,,1.29,,0.60,
2004-08,4.67,,2.78,,1.89,,1.37,,0.52,
2004-09,4.61,,2.72,,1.89,,1.38,,0.51,
2004-10,4.76,,2.77,,1.99,,1.35,,0.64,
2004-11,4.75,,2.88,,1.87,,1.39,,0.48,
2004-12,4.72,,2.83,,1.89,,1.49,,0.40,
2005-01,5.30,,3.45,,1.85,,1.42,,0.43,
2005-02,4.73,,2.91,,1.82,,1.44,,0.38,
2005-03,5.00,,2.79,,2.21,,1.39,,0.82,
2005-04,4.44,,2.69,,1.75,,1.25,,0.50,
2005-05,4.56,,2.72,,1.84,,1.36,,0.48,
2005-06,4.41,,2.76,,1.65,,1.21,,0.44,
2005-07,4.53,,2.75,,1.78,,1.25,,0.53,
2005-08,4.74,,2.82,,1.92,,1.39,,0.53,
2005-09,4.96,,2.96,,2.00,,1.42,,0.58,
2005-10,4.79,,2.79,,2.00,,1.53,,0.47,
2005-11,5.15,,3.13,,2.02,,1.43,,0.59,
2005-12,5.24,,3.39,,1.85,,1.29,,0.56,
2006-01,6.43,,4.53,,1.90,,1.35,,0.55,
2006-02,5.87,,3.85,,2.02,,1.49,,0.53,
2006-03,5.87,,3.65,,2.22,,1.75,,0.47,
2006-04,5.43,,3.25,,2.18,,1.73,,0.45,
2006-05,5.14,,3.10,,2.04,,1.52,,0.52,
2006-06,4.93,,2.83,,2.10,,1.55,,0.55,
2006-07,5.11,,2.93,,2.18,,1.73,,0.45,
2006-08,4.94,,2.81,,2.13,,1.63,,0.50,
2006-09,4.77,,2.67,,2.10,,1.68,,0.42,
2006-10,4.56,,2.51,,2.05,,1.60,,0.45,
2006-11,4.38,,2.42,,1.96,,1.59,,0.37,
2006-12,4.19,,2.21,,1.98,,1.52,,0.46,
2007-01,4.20,,2.09,,2.11,,1.71,,0.40,
2007-02,3.92,,1.96,,1.96,,1.49,,0.47,
2007-03,3.93,,2.06,,1.87,,1.43,,0.44,
2007-04,5.18,,2.35,,2.83,,2.34,,0.49,
2007-05,4.62,,2.41,,2.21,,1.72,,0.49,
2007-06,4.45,,2.33,,2.12,,1.70,,0.42,
2007-07,4.78,,2.40,,2.38,,1.81,,0.57,
2007-08,4.57,,2.24,,2.33,,1.90,,0.43,
2007-09,5.03,,2.46,,2.57,,1.92,,0.65,
2007-10,4.49,,2.28,,2.21,,1.73,,0.48,
2007-11,5.34,,2.32,,3.02,,2.17,,0.85,
2007-12,4.67,,2.28,,2.39,,1.95,,0.44,
2008-01,4.61,,2.17,,2.44,,1.83,,0.61,
2008-02,4.80,,2.22,,2.58,,2.18,,0.40,
2008-03,4.84,,2.19,,2.65,,2.14,,0.51,
2008-04,5.13,,2.37,,2.76,,2.29,,0.47,
2008-05,5.08,,2.24,,2.84,,1.89,,0.95,
2008-06,5.28,,2.32,,2.96,,2.28,,0.68,
2008-07,5.05,,2.33,,2.72,,2.22,,0.50,
2008-08,4.80,,2.17,,2.63,,2.13,,0.50,
2008-09,4.67,,2.18,,2.49,,1.94,,0.55,
2008-10,4.90,,2.23,,2.67,,2.11,,0.56,
2008-11,4.84,,2.06,,2.78,,1.90,,0.88,
2008-12,4.69,,2.06,,2.63,,2.09,,0.54,
2009-01,5.16,,2.19,,2.97,,2.12,,0.85,
2009-02,4.43,,1.94,,2.49,,1.80,,0.69,
2009-03,4.71,,2.13,,2.58,,1.80,,0.78,
2009-04,4.87,,2.30,,2.57,,1.67,,0.90,
2009-05,4.92,,2.42,,2.50,,1.67,,0.83,
2009-06,4.75,,2.32,,2.43,,1.57,,0.86,
2009-07,4.95,,2.45,,2.50,,1.64,,0.86,
2009-08,5.15,,2.50,,2.65,,1.76,,0.89,
2009-09,4.71,,2.44,,2.27,,1.41,,0.86,
2009-10,5.34,,2.58,,2.76,,1.74,,1.02,
2009-11,5.10,,2.48,,2.62,,1.53,,1.09,
2009-12,5.26,,2.39,,2.87,,1.61,,1.26,
2010-01,4.58,,2.23,,2.35,,1.40,,0.95,
2010-02,4.85,,2.29,,2.56,,1.52,,1.04,
2010-03,4.72,,2.28,,2.44,,1.44,,1.00,
2010-04,4.70,,2.22,,2.48,,1.57,,0.91,
2010-05,4.75,,2.43,,2.32,,1.54,,0.78,
2010-06,4.95,,2.69,,2.26,,1.50,,0.76,
2010-07,5.05,,2.71,,2.34,,1.57,,0.77,
2010-08,5.15,,2.82,,2.33,,1.58,,0.75,
2010-09,5.10,,2.69,,2.41,,1.65,,0.76,
2010-10,5.05,,2.72,,2.33,,1.63,,0.70,
2010-11,5.14,,2.85,,2.29,,1.58,,0.71,
2010-12,4.53,,2.29,,2.24,,1.54,,0.70,
2011-01,5.22,,2.83,,2.39,,1.69,,0.70,
2011-02,5.60,,2.97,,2.63,,1.87,,0.76,
2011-03,5.78,,3.16,,2.62,,1.91,,0.71,
2011-04,5.38,,3.01,,2.37,,1.66,,0.71,
2011-05,5.63,,3.10,,2.53,,1.81,,0.72,
2011-06,5.59,,3.11,,2.48,,1.85,,0.63,
2011-07,5.18,,3.06,,2.12,,1.59,,0.53,
2011-08,5.46,,3.13,,2.33,,1.72,,0.61,
2011-09,5.70,,3.09,,2.61,,1.88,,0.73,
2011-10,6.08,,3.12,,2.96,,2.30,,0.66,
2011-11,6.04,,3.18,,2.86,,2.23,,0.63,
2011-12,6.16,,3.24,,2.92,,2.27,,0.65,
2012-01,5.18,,2.62,,2.56,,1.98,,0.58,
2012-02,5.44,,2.94,,2.50,,1.99,,0.51,
2012-03,5.62,,3.21,,2.41,,1.82,,0.59,
2012-04,5.49,,3.05,,2.44,,1.93,,0.51,
2012-05,6.40,,3.55,,2.85,,2.17,,0.68,
2012-06,6.51,,3.60,,2.91,,2.24,,0.67,
2012-07,6.20,,3.43,,2.77,,2.10,,0.67,
2012-08,5.88,,3.43,,2.45,,1.90,,0.55,
2012-09,5.92,,3.48,,2.44,,1.76,,0.68,
2012-10,5.89,,3.32,,2.57,,1.87,,0.70,
2012-11,5.97,,3.24,,2.73,,2.05,,0.68,
2012-12,5.81,,3.31,,2.50,,1.78,,0.72,
2013-01,6.38,,3.32,,3.06,,2.18,,0.88,
2013-02,6.25,,3.41,,2.84,,1.79,,1.05,
2013-03,6.19,,3.46,,2.73,,1.96,,0.77,
2013-04,6.55,,3.80,,2.75,,1.95,,0.80,
2013-05,6.15,,3.58,,2.57,,1.82,,0.75,
2013-06,6.08,,3.57,,2.51,,1.94,,0.57,
2013-07,7.02,,4.04,,2.98,,2.08,,0.90,
2013-08,6.39,,3.68,,2.71,,1.93,,0.78,
2013-09,6.97,,4.01,,2.96,,2.21,,0.75,
2013-10,6.48,,3.63,,2.85,,1.94,,0.91,
2013-11,6.17,,3.68,,2.49,,1.87,,0.62,
2013-12,6.07,,3.55,,2.52,,2.03,,0.49,
2014-01,6.75,,3.92,,2.83,,2.09,,0.74,
2014-02,6.84,,3.81,,3.03,,2.42,,0.61,
2014-03,6.55,,3.79,,2.76,,2.18,,0.58,
2014-04,6.92,,3.91,,3.01,,2.10,,0.91,
2014-05,6.61,,3.94,,2.67,,2.02,,0.65,
2014-06,6.21,,3.80,,2.41,,1.85,,0.56,
2014-07,6.69,,3.96,,2.73,,2.11,,0.62,
2014-08,6.72,,4.03,,2.69,,2.03,,0.66,
2014-09,6.24,,3.89,,2.35,,1.81,,0.54,
2014-10,6.70,,3.95,,2.75,,2.11,,0.64,
2014-11,6.39,,3.84,,2.55,,1.89,,0.66,
2014-12,6.11,,3.76,,2.35,,1.71,,0.64,
2015-01,6.18,,3.75,,2.43,,1.80,,0.63,
2015-02,6.69,,4.02,,2.67,,1.76,,0.91,
2015-03,7.21,,4.02,,3.19,,2.33,,0.86,
2015-04,6.66,,4.02,,2.64,,2.01,,0.63,
2015-05,6.58,,4.08,,2.50,,1.95,,0.55,
2015-06,6.68,,4.08,,2.60,,1.97,,0.63,
2015-07,6.56,,4.25,,2.31,,1.80,,0.51,
2015-08,7.20,,4.44,,2.76,,2.04,,0.72,
2015-09,7.25,,4.46,,2.79,,2.15,,0.64,
2015-10,7.45,,4.75,,2.70,,2.00,,0.70,
2015-11,7.33,,4.56,,2.77,,2.13,,0.64,
2015-12,7.57,,4.55,,3.02,,2.29,,0.73,
2016-01,7.80,,5.08,,2.72,,2.04,,0.68,
2016-02,8.59,,5.07,,3.52,,2.79,,0.73,
2016-03,8.54,,5.01,,3.53,,2.59,,0.94,
2016-04,8.26,,4.83,,3.43,,2.49,,0.94,
2016-05,7.88,,4.72,,3.16,,2.35,,0.81,
2016-06,8.00,,4.82,,3.18,,2.33,,0.85,
2016-07,7.36,,4.71,,2.65,,1.87,,0.78,
2016-08,7.73,,4.63,,3.10,,2.36,,0.74,
2016-09,8.45,,4.88,,3.57,,2.57,,1.00,
2016-10,8.23,,4.97,,3.26,,2.51,,0.75,
2016-11,8.80,,5.18,,3.62,,2.77,,0.85,
2016-12,8.22,,4.90,,3.32,,2.46,,0.86,
2017-01,7.52,,4.55,,2.97,,2.32,,0.65,
2017-02,8.22,,4.86,,3.36,,2.50,,0.86,
2017-03,7.75,,4.73,,3.02,,2.25,,0.77,
2017-04,8.19,,4.93,,3.26,,2.36,,0.90,
2017-05,7.87,,4.93,,2.94,,2.14,,0.80,
2017-06,8.85,,4.98,,3.87,,2.84,,1.03,
2017-07,8.31,,4.92,,3.39,,2.53,,0.86,
2017-08,8.68,,4.91,,3.77,,2.80,,0.97,
2017-09,8.16,,4.83,,3.33,,2.43,,0.90,
2017-10,8.42,,5.19,,3.23,,2.38,,0.85,
2017-11,8.21,,4.84,,3.37,,2.31,,1.06,
2017-12,9.19,,5.10,,4.09,,3.14,,0.95,
2018-01,8.41,,4.78,,3.63,,2.70,,0.93,
2018-02,8.22,,4.99,,3.23,,2.50,,0.73,
2018-03,8.94,,5.13,,3.81,,2.86,,0.95,
2018-04,9.99,,5.15,,4.84,,3.30,,1.54,
2018-05,9.11,,5.47,,3.64,,2.82,,0.82,
2018-06,8.49,,4.83,,3.66,,2.80,,0.86,
2018-07,9.33,,5.58,,3.75,,2.89,,0.86,
2018-08,8.86,,5.14,,3.72,,2.85,,0.87,
2018-09,9.23,,5.39,,3.84,,2.83,,1.01,
2018-10,8.25,,4.79,,3.46,,2.59,,0.87,
2018-11,8.27,,4.93,,3.34,,2.48,,0.86,
2018-12,9.50,,5.45,,4.05,,2.95,,1.10,
2019-01,9.18,,5.37,,3.81,,2.83,,0.98,
2019-02,8.50,,4.92,,3.58,,2.66,,0.92,
2019-03,8.51,,5.07,,3.44,,2.41,,1.03,
2019-04,8.97,,5.44,,3.53,,2.62,,0.91,
2019-05,8.94,,5.20,,3.74,,2.87,,0.87,
2019-06,9.86,,5.33,,4.53,,2.90,,1.63,
2019-07,9.64,,5.44,,4.20,,2.87,,1.33,
2019-08,10.36,,5.66,,4.70,,3.43,,1.27,
2019-09,10.00,,5.72,,4.28,,3.07,,1.21,
2019-10,10.07,,5.66,,4.41,,3.07,,1.34,
2019-11,10.52,,6.07,,4.45,,3.45,,1.00,
2019-12,10.61,,6.32,,4.29,,3.08,,1.21,
2020-01,9.97,,5.51,,4.46,,3.12,,1.34,
2020-02,9.67,,5.19,,4.48,,3.17,,1.31,
2020-03,9.32,,5.50,,3.82,,2.67,,1.15,
2020-04,10.01,,5.75,,4.26,,3.03,,1.23,
2020-05,10.00,,5.66,,4.34,,2.99,,1.35,
2020-06,10.20,,5.97,,4.23,,3.02,,1.21,
2020-07,9.40,,5.65,,3.75,,2.55,,1.20,
2020-08,9.82,,5.98,,3.84,,2.70,,1.14,
2020-09,9.77,,5.86,,3.91,,2.86,,1.05,
2020-10,10.87,,6.08,,4.79,,3.41,,1.38,
2020-11,11.00,,6.79,,4.21,,3.14,,1.07,
2020-12,10.13,,6.13,,4.00,,2.96,,1.04,
2021-01,10.94,,6.56,,4.38,,3.30,,1.08,
2021-02,10.89,,6.90,,3.99,,2.53,,1.46,
2021-03,12.18,,7.82,,4.36,,3.09,,1.27,
2021-04,10.02,,5.93,,4.09,,2.89,,1.20,
2021-05,10.45,,6.12,,4.33,,3.16,,1.17,
2021-06,9.95,,6.09,,3.86,,2.85,,1.01,
2021-07,10.71,,6.14,,4.57,,3.53,,1.04,
2021-08,11.03,,6.28,,4.75,,3.36,,1.39,
2021-09,10.66,,6.31,,4.35,,3.09,,1.26,
2021-10,10.81,,6.47,,4.34,,3.04,,1.30,
2021-11,10.90,,6.39,,4.51,,3.13,,1.38,
2021-12,10.99,,6.87,,4.12,,2.91,,1.21,
2022-01,11.98,,7.37,,4.61,,3.18,,1.43,
2022-02,11.49,,6.80,,4.69,,3.48,,1.21,
2022-03,12.17,,7.13,,5.04,,3.83,,1.21,
2022-04,12.04,,6.72,,5.32,,3.99,,1.33,
"",Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,
