"",BBDA1.M.DE.Y.EX.S.GP09IS02.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS02.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS03.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS03.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS04.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS04.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS09.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS09.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09I028.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09I028.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS10.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS10.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09I029.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09I029.W1.A.V.ABA.A_FLAGS
2011-10,27.92,,39.53,,14.23,,12.67,,13.86,,12.37,,16.01,
2011-11,28.19,,39.84,,14.69,,12.65,,14.00,,12.66,,15.57,
2011-12,27.76,,38.80,,14.07,,12.66,,13.32,,12.40,,15.50,
2012-01,27.94,,40.60,,14.42,,13.14,,13.90,,12.38,,15.64,
2012-02,28.58,,41.26,,14.36,,12.87,,14.23,,12.93,,15.89,
2012-03,28.67,,40.16,,14.36,,13.06,,13.82,,12.78,,15.71,
2012-04,28.19,,40.45,,14.21,,13.24,,13.86,,12.75,,15.86,
2012-05,29.12,,41.53,,15.10,,13.78,,13.99,,13.24,,16.03,
2012-06,28.73,,41.16,,14.70,,13.43,,14.21,,13.07,,16.15,
2012-07,28.56,,41.65,,14.98,,13.45,,13.98,,13.09,,17.16,
2012-08,28.97,,41.99,,15.11,,13.87,,13.98,,13.01,,16.52,
2012-09,28.44,,40.83,,15.29,,14.29,,13.57,,12.60,,15.80,
2012-10,28.80,,40.05,,15.33,,13.93,,13.41,,12.49,,15.75,
2012-11,28.04,,39.14,,14.93,,13.48,,13.43,,12.42,,15.20,
2012-12,28.86,,41.10,,15.16,,13.99,,13.81,,12.72,,16.12,
2013-01,28.70,,39.76,,15.44,,13.75,,13.83,,12.58,,15.19,
2013-02,28.20,,40.37,,15.29,,13.72,,13.67,,12.54,,15.47,
2013-03,28.56,,41.07,,15.24,,13.35,,13.67,,12.83,,15.62,
2013-04,28.16,,40.66,,15.46,,13.75,,13.85,,12.81,,15.92,
2013-05,28.76,,39.56,,15.20,,13.59,,13.94,,13.05,,15.32,
2013-06,27.99,,40.55,,15.12,,13.29,,13.79,,12.95,,15.92,
2013-07,27.72,,39.28,,15.12,,13.39,,13.56,,12.62,,15.68,
2013-08,27.89,,40.84,,15.20,,13.42,,13.58,,12.65,,16.83,
2013-09,27.86,,41.50,,15.58,,13.64,,13.69,,12.75,,16.55,
2013-10,28.67,,40.60,,16.00,,14.41,,13.46,,12.73,,16.04,
2013-11,28.35,,41.55,,15.76,,14.12,,13.80,,12.58,,16.54,
2013-12,28.33,,41.60,,15.55,,13.78,,14.12,,12.65,,16.54,
2014-01,28.97,,41.57,,16.22,,14.24,,13.90,,13.04,,16.88,
2014-02,28.62,,42.02,,15.80,,13.75,,13.93,,13.11,,16.57,
2014-03,28.17,,40.75,,15.58,,13.76,,13.56,,12.84,,16.22,
2014-04,28.89,,41.51,,15.89,,13.95,,13.86,,13.17,,16.94,
2014-05,27.80,,40.73,,15.82,,14.11,,13.60,,12.67,,16.53,
2014-06,28.84,,41.87,,15.69,,13.79,,14.06,,13.16,,17.22,
2014-07,28.87,,43.16,,15.80,,13.82,,13.91,,13.22,,18.08,
2014-08,28.62,,40.23,,16.62,,14.78,,13.83,,13.23,,15.41,
2014-09,29.24,,42.83,,16.04,,14.22,,13.86,,13.44,,17.14,
2014-10,29.28,,43.67,,16.14,,14.30,,14.23,,13.46,,17.51,
2014-11,28.57,,42.35,,16.13,,14.21,,13.93,,13.16,,17.57,
2014-12,29.56,,44.39,,16.83,,14.80,,14.20,,13.95,,18.11,
2015-01,29.22,,43.90,,16.35,,14.37,,13.88,,13.80,,17.82,
2015-02,29.56,,45.48,,16.57,,14.10,,13.92,,14.20,,18.46,
2015-03,29.29,,45.26,,16.87,,14.56,,14.08,,14.10,,18.71,
2015-04,29.74,,46.25,,16.85,,14.92,,14.00,,14.07,,18.56,
2015-05,29.75,,47.40,,17.00,,14.74,,15.02,,14.36,,19.39,
2015-06,29.55,,44.85,,17.48,,15.32,,14.18,,14.22,,18.92,
2015-07,29.87,,47.33,,17.40,,15.06,,14.30,,14.52,,20.11,
2015-08,28.57,,44.12,,17.17,,14.87,,13.97,,13.67,,18.28,
2015-09,29.06,,45.37,,17.43,,14.90,,14.08,,13.89,,19.04,
2015-10,28.90,,45.67,,16.88,,14.83,,14.06,,14.12,,18.87,
2015-11,28.92,,44.48,,17.54,,14.86,,14.17,,14.19,,18.89,
2015-12,29.13,,43.69,,17.44,,15.10,,13.86,,14.20,,18.25,
2016-01,29.53,,45.45,,17.37,,14.72,,13.98,,14.51,,18.72,
2016-02,29.07,,44.86,,17.44,,14.60,,13.87,,14.29,,18.60,
2016-03,29.36,,46.35,,17.73,,14.86,,14.27,,14.58,,18.59,
2016-04,29.16,,47.19,,17.37,,14.47,,14.55,,14.56,,19.47,
2016-05,29.30,,45.56,,17.43,,14.78,,13.93,,14.48,,18.52,
2016-06,28.77,,45.16,,17.40,,14.43,,13.82,,14.43,,19.16,
2016-07,29.06,,44.26,,17.63,,14.71,,13.65,,14.16,,18.89,
2016-08,29.59,,46.80,,17.30,,14.46,,14.24,,14.64,,19.53,
2016-09,29.78,,45.59,,17.47,,14.82,,14.36,,14.89,,19.14,
2016-10,29.54,,46.69,,17.80,,14.95,,14.21,,15.25,,18.92,
2016-11,30.60,,46.80,,18.04,,15.19,,14.45,,15.20,,19.46,
2016-12,30.34,,44.95,,17.77,,15.06,,13.97,,15.00,,17.64,
2017-01,30.67,,47.01,,18.70,,15.52,,14.49,,15.64,,18.49,
2017-02,31.53,,48.21,,18.61,,15.76,,15.27,,16.38,,19.11,
2017-03,31.46,,47.88,,18.50,,15.78,,14.98,,15.87,,19.22,
2017-04,32.69,,48.09,,19.19,,16.16,,15.39,,16.51,,19.23,
2017-05,32.03,,49.22,,19.09,,16.03,,15.61,,16.01,,19.88,
2017-06,32.16,,47.83,,18.76,,15.40,,15.41,,16.80,,19.31,
2017-07,32.05,,48.13,,19.09,,16.07,,15.48,,16.37,,19.72,
2017-08,32.22,,50.41,,19.23,,16.14,,15.64,,16.47,,21.00,
2017-09,32.51,,49.82,,19.06,,15.80,,15.88,,16.56,,19.74,
2017-10,32.93,,48.79,,19.09,,15.85,,15.68,,16.38,,19.92,
2017-11,33.78,,50.16,,19.75,,16.55,,16.13,,17.01,,20.37,
2017-12,33.91,,49.87,,20.21,,17.24,,16.24,,16.77,,20.13,
2018-01,33.48,,50.43,,19.34,,16.39,,16.13,,16.95,,20.17,
2018-02,33.34,,47.30,,20.06,,17.07,,16.10,,16.63,,19.13,
2018-03,33.05,,49.72,,20.11,,16.99,,15.99,,16.77,,19.78,
2018-04,33.02,,50.66,,19.88,,16.77,,16.20,,16.86,,20.12,
2018-05,33.69,,51.02,,20.11,,16.86,,16.41,,17.12,,20.09,
2018-06,33.36,,50.02,,20.28,,17.14,,16.29,,17.20,,19.56,
2018-07,33.44,,48.90,,20.38,,17.11,,16.21,,17.14,,19.22,
2018-08,33.99,,49.03,,20.44,,17.49,,16.53,,17.09,,18.44,
2018-09,33.38,,49.51,,20.16,,17.15,,16.43,,17.71,,18.72,
2018-10,34.34,,48.87,,19.96,,16.83,,16.66,,17.59,,18.44,
2018-11,33.85,,49.76,,19.72,,16.43,,16.32,,17.22,,18.68,
2018-12,33.99,,51.68,,19.83,,16.69,,16.94,,17.59,,19.60,
2019-01,34.06,,50.73,,20.17,,16.78,,16.73,,17.61,,19.13,
2019-02,33.71,,49.84,,19.43,,16.57,,16.46,,17.44,,18.99,
2019-03,34.45,,51.46,,20.03,,16.71,,16.66,,17.75,,18.90,
2019-04,33.23,,49.69,,20.00,,16.50,,16.36,,17.28,,18.69,
2019-05,32.91,,50.01,,20.05,,16.60,,16.38,,17.28,,19.23,
2019-06,33.59,,49.93,,20.90,,17.25,,16.49,,17.40,,19.18,
2019-07,33.31,,49.54,,20.34,,16.90,,16.39,,17.56,,18.80,
2019-08,33.17,,49.20,,20.47,,16.49,,16.57,,17.58,,18.69,
2019-09,34.03,,49.18,,20.84,,17.51,,16.37,,17.42,,18.85,
2019-10,33.50,,50.56,,21.30,,17.57,,16.50,,17.47,,18.54,
2019-11,33.11,,49.57,,21.08,,16.99,,16.23,,17.45,,18.40,
2019-12,32.77,,50.52,,21.07,,16.90,,16.39,,17.24,,18.52,
2020-01,33.68,,49.19,,20.90,,16.86,,16.46,,17.59,,18.56,
2020-02,34.34,,49.24,,21.42,,17.53,,16.23,,17.38,,18.61,
2020-03,31.69,,41.53,,20.20,,17.73,,14.45,,16.19,,14.02,
2020-04,26.77,,25.75,,18.27,,16.15,,11.66,,13.87,,4.60,
2020-05,26.37,,32.60,,19.58,,15.43,,12.53,,14.11,,9.39,
2020-06,28.68,,40.81,,19.67,,15.31,,13.87,,15.36,,15.34,
2020-07,29.66,,43.26,,20.21,,15.94,,14.60,,16.19,,16.41,
2020-08,31.50,,43.56,,20.32,,15.94,,14.63,,16.38,,16.27,
2020-09,32.38,,45.28,,20.51,,16.81,,15.06,,16.84,,17.61,
2020-10,32.30,,45.89,,20.56,,16.83,,15.15,,16.41,,18.87,
2020-11,34.09,,46.30,,20.99,,17.76,,15.57,,17.47,,18.12,
2020-12,34.10,,46.82,,20.70,,17.50,,15.21,,17.30,,18.80,
2021-01,34.79,,46.30,,21.29,,18.33,,15.83,,17.64,,17.78,
2021-02,35.03,,47.29,,20.66,,17.49,,15.99,,17.93,,17.92,
2021-03,36.01,,47.42,,21.85,,18.84,,16.27,,18.00,,18.82,
2021-04,36.14,,46.56,,22.54,,19.67,,16.02,,18.11,,18.25,
2021-05,37.14,,46.15,,22.86,,19.80,,16.44,,18.12,,17.10,
2021-06,37.04,,46.27,,22.79,,19.88,,16.18,,17.98,,17.18,
2021-07,37.49,,46.22,,22.63,,19.97,,16.45,,18.16,,16.91,
2021-08,37.76,,43.93,,22.83,,20.60,,16.48,,18.36,,13.83,
2021-09,37.71,,43.70,,22.78,,20.71,,16.43,,18.11,,15.30,
2021-10,38.38,,47.70,,23.19,,20.41,,16.40,,18.04,,17.89,
2021-11,39.63,,47.83,,23.98,,21.13,,16.29,,18.37,,18.35,
2021-12,40.72,,46.26,,24.69,,22.43,,15.70,,18.85,,18.10,
2022-01,38.34,,46.50,,23.24,,20.66,,15.98,,17.85,,18.75,
